query_group,query_display,target_group,shift_windows,shift_frames,status,mrr,top1_accuracy,top5_accuracy,top10_accuracy,median_rank,mean_rank,num_queries
pose_slam,Pose + SLAM,depth_plus_video,-5,-25,derived_perturbation,0.05835483595728874,0.011661807580174927,0.061224489795918366,0.119533527696793,43.0,58.218658447265625,343
pose_slam,Pose + SLAM,depth_plus_video,0,0,derived_perturbation,0.42622581124305725,0.3017241379310345,0.5488505747126436,0.6551724137931034,4.0,15.623562812805176,348
pose_slam,Pose + SLAM,depth_plus_video,5,25,derived_perturbation,0.04654298722743988,0.0058309037900874635,0.04956268221574344,0.11661807580174927,55.0,66.43148803710938,343
pose_slam,Pose + SLAM,depth_plus_video,10,50,derived_perturbation,0.034309279173612595,0.005917159763313609,0.023668639053254437,0.05621301775147929,71.0,100.44082641601562,338
pose_slam,Pose + SLAM,depth_plus_video,20,100,derived_perturbation,0.03287472575902939,0.006097560975609756,0.03048780487804878,0.06097560975609756,97.5,127.41158294677734,328
pose_slam,Pose + SLAM,depth_plus_video,40,200,derived_perturbation,0.024975253269076347,0.003246753246753247,0.016233766233766232,0.03571428571428571,88.5,116.36363983154297,308
inertial,Inertial,depth_plus_video,-40,-200,derived_perturbation,0.042965441942214966,0.00974025974025974,0.045454545454545456,0.09090909090909091,90.0,116.86363983154297,308
inertial,Inertial,depth_plus_video,-20,-100,derived_perturbation,0.019861916080117226,0.003048780487804878,0.009146341463414634,0.01524390243902439,112.0,135.9573211669922,328
inertial,Inertial,depth_plus_video,-10,-50,derived_perturbation,0.04950016736984253,0.011834319526627219,0.05325443786982249,0.10946745562130178,74.0,102.37574005126953,338
inertial,Inertial,depth_plus_video,-5,-25,derived_perturbation,0.05499911680817604,0.0029154518950437317,0.05830903790087463,0.13994169096209913,39.0,63.70845413208008,343
inertial,Inertial,depth_plus_video,0,0,derived_perturbation,0.2840072810649872,0.16379310344827586,0.3735632183908046,0.5229885057471264,10.0,20.577587127685547,348
inertial,Inertial,depth_plus_video,5,25,derived_perturbation,0.054161082953214645,0.014577259475218658,0.04956268221574344,0.10495626822157435,53.0,68.86006164550781,343
inertial,Inertial,depth_plus_video,10,50,derived_perturbation,0.03178250044584274,0.005917159763313609,0.008875739644970414,0.05917159763313609,76.0,103.02071380615234,338
inertial,Inertial,depth_plus_video,20,100,derived_perturbation,0.03213934600353241,0.009146341463414634,0.021341463414634148,0.042682926829268296,93.5,125.67987823486328,328
inertial,Inertial,depth_plus_video,40,200,derived_perturbation,0.031400587409734726,0.003246753246753247,0.03896103896103896,0.05194805194805195,91.0,115.68830871582031,308
language,Language,depth_plus_video,-40,-200,derived_perturbation,0.015811588615179062,0.0,0.003246753246753247,0.016233766233766232,145.5,141.49026489257812,308
language,Language,depth_plus_video,-20,-100,derived_perturbation,0.027325116097927094,0.006097560975609756,0.024390243902439025,0.06097560975609756,174.0,162.0792694091797,328
language,Language,depth_plus_video,-10,-50,derived_perturbation,0.02521640993654728,0.0029585798816568047,0.023668639053254437,0.05621301775147929,165.0,162.10354614257812,338
language,Language,depth_plus_video,-5,-25,derived_perturbation,0.02469729632139206,0.0029154518950437317,0.02040816326530612,0.04956268221574344,165.0,158.99708557128906,343
language,Language,depth_plus_video,0,0,derived_perturbation,0.031006580218672752,0.005747126436781609,0.031609195402298854,0.05747126436781609,138.0,146.83045959472656,348
language,Language,depth_plus_video,5,25,derived_perturbation,0.04090346768498421,0.008746355685131196,0.04956268221574344,0.08454810495626822,102.0,135.07289123535156,343
language,Language,depth_plus_video,10,50,derived_perturbation,0.0362100675702095,0.008875739644970414,0.03254437869822485,0.07692307692307693,101.5,131.18934631347656,338
language,Language,depth_plus_video,20,100,derived_perturbation,0.03773954510688782,0.009146341463414634,0.036585365853658534,0.08231707317073171,111.0,137.8353729248047,328
language,Language,depth_plus_video,40,200,derived_perturbation,0.037675727158784866,0.00974025974025974,0.04220779220779221,0.08116883116883117,139.5,144.4837646484375,308
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,-40,-200,derived_perturbation,0.05048111826181412,0.016233766233766232,0.05519480519480519,0.1038961038961039,99.5,116.717529296875,308
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,-20,-100,derived_perturbation,0.023761091753840446,0.003048780487804878,0.01524390243902439,0.021341463414634148,111.0,140.868896484375,328
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,-10,-50,derived_perturbation,0.039904821664094925,0.008875739644970414,0.03550295857988166,0.07988165680473373,81.5,107.72189331054688,338
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,-5,-25,derived_perturbation,0.051686227321624756,0.008746355685131196,0.043731778425655975,0.12244897959183673,47.0,63.40524673461914,343
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,0,0,derived_perturbation,0.38971078395843506,0.28448275862068967,0.4827586206896552,0.5718390804597702,6.0,25.27011489868164,348
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,5,25,derived_perturbation,0.05908266454935074,0.014577259475218658,0.0641399416909621,0.13119533527696792,48.0,64.80757904052734,343
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,10,50,derived_perturbation,0.03273069113492966,0.0029585798816568047,0.01775147928994083,0.06804733727810651,63.0,96.31952667236328,338
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,20,100,derived_perturbation,0.028844518586993217,0.006097560975609756,0.024390243902439025,0.04573170731707317,81.5,131.6280517578125,328
motion_pose_inertial,Motion + Pose + IMU,depth_plus_video,40,200,derived_perturbation,0.033500298857688904,0.00974025974025974,0.032467532467532464,0.048701298701298704,99.0,120.70130157470703,308
audio,Audio,depth_plus_video,-40,-200,derived_perturbation,0.0169698353856802,0.0,0.012987012987012988,0.01948051948051948,174.5,164.24349975585938,308
audio,Audio,depth_plus_video,-20,-100,derived_perturbation,0.020251398906111717,0.0,0.012195121951219513,0.036585365853658534,165.0,155.72256469726562,328
audio,Audio,depth_plus_video,-10,-50,derived_perturbation,0.017801525071263313,0.0,0.020710059171597635,0.029585798816568046,158.0,167.45266723632812,338
audio,Audio,depth_plus_video,-5,-25,derived_perturbation,0.03099018894135952,0.011661807580174927,0.029154518950437316,0.04664723032069971,139.0,157.4344024658203,343
audio,Audio,depth_plus_video,0,0,derived_perturbation,0.02334633097052574,0.005747126436781609,0.014367816091954023,0.031609195402298854,152.5,161.44540405273438,348
audio,Audio,depth_plus_video,5,25,derived_perturbation,0.019279710948467255,0.0029154518950437317,0.011661807580174927,0.02040816326530612,142.0,152.10494995117188,343
audio,Audio,depth_plus_video,10,50,derived_perturbation,0.025376494973897934,0.0029585798816568047,0.023668639053254437,0.05621301775147929,139.0,148.3550262451172,338
audio,Audio,depth_plus_video,20,100,derived_perturbation,0.020232554525136948,0.003048780487804878,0.012195121951219513,0.03048780487804878,135.5,148.68597412109375,328
audio,Audio,depth_plus_video,40,200,derived_perturbation,0.013224045746028423,0.0,0.006493506493506494,0.012987012987012988,168.0,168.0779266357422,308
