test_position,true_rank,top_candidate_position,top_candidate_score,true_score,window_index,center_frame
68,6,100,0.9812235832214355,0.9802713990211487,881,4414
69,9,104,0.984527587890625,0.9824627637863159,882,4419
70,9,104,0.9871407747268677,0.9851955771446228,883,4424
71,13,108,0.988595724105835,0.9865401387214661,884,4429
72,13,107,0.9898530840873718,0.9862053394317627,885,4434
73,12,107,0.9900758862495422,0.9861370325088501,886,4439
74,11,106,0.9902065396308899,0.9874850511550903,887,4444
75,1,75,0.9884895086288452,0.9884895086288452,888,4449
76,1,76,0.9896647334098816,0.9896647334098816,889,4454
77,1,77,0.9896682500839233,0.9896682500839233,890,4459
78,1,78,0.9889359474182129,0.9889359474182129,891,4464
79,1,79,0.9866073131561279,0.9866073131561279,892,4469
80,2,79,0.98196941614151,0.98167884349823,893,4474
81,2,82,0.9813227653503418,0.9804948568344116,894,4479
82,1,82,0.9862184524536133,0.9862184524536133,895,4484
83,2,84,0.9877396821975708,0.9869116544723511,896,4489
84,1,84,0.9860032796859741,0.9860032796859741,897,4494
85,1,85,0.9876530766487122,0.9876530766487122,898,4499
86,2,87,0.9907805323600769,0.9903513193130493,899,4504
87,1,87,0.9928013682365417,0.9928013682365417,900,4509
88,1,88,0.993531346321106,0.993531346321106,901,4514
89,1,89,0.9935746192932129,0.9935746192932129,902,4519
90,1,90,0.9935810565948486,0.9935810565948486,903,4524
91,1,91,0.9929692149162292,0.9929692149162292,904,4529
92,1,92,0.992980420589447,0.992980420589447,905,4534
93,1,93,0.9923542141914368,0.9923542141914368,906,4539
94,1,94,0.9924837946891785,0.9924837946891785,907,4544
95,1,95,0.9924015402793884,0.9924015402793884,908,4549
96,1,96,0.9909459352493286,0.9909459352493286,909,4554
97,1,97,0.9938051700592041,0.9938051700592041,910,4559
98,1,98,0.9952245354652405,0.9952245354652405,911,4564
99,1,99,0.9958584904670715,0.9958584904670715,912,4569
100,1,100,0.9948219060897827,0.9948219060897827,913,4574
101,2,102,0.9949925541877747,0.994631826877594,914,4579
102,1,102,0.9964564442634583,0.9964564442634583,915,4584
103,1,103,0.9971249103546143,0.9971249103546143,916,4589
104,1,104,0.9974141120910645,0.9974141120910645,917,4594
105,4,104,0.9964765310287476,0.9963763356208801,918,4599
106,1,106,0.9967487454414368,0.9967487454414368,919,4604
107,2,108,0.9962137341499329,0.9962106943130493,920,4609
108,1,108,0.9963065981864929,0.9963065981864929,921,4614
109,3,108,0.9967453479766846,0.9966340661048889,922,4619
110,4,109,0.9968262910842896,0.9966382384300232,923,4624
111,5,108,0.9964090585708618,0.9961786866188049,924,4629
112,5,108,0.9961012005805969,0.9958056211471558,925,4634
113,6,109,0.9959288835525513,0.9954898357391357,926,4639
114,10,109,0.993537425994873,0.9907549619674683,927,4644
115,7,25,0.9459640979766846,0.9411191940307617,928,4649
116,2,117,0.8215954303741455,0.819902777671814,929,4654
117,1,117,0.8068766593933105,0.8068766593933105,930,4659
118,1,118,0.8103794455528259,0.8103794455528259,931,4664
119,1,119,0.8437072038650513,0.8437072038650513,932,4669
120,3,122,0.8336788415908813,0.8255460262298584,933,4674
121,2,122,0.8690485954284668,0.8616132140159607,934,4679
122,5,123,0.9306885600090027,0.9273791313171387,935,4684
123,8,126,0.9857144355773926,0.9841196537017822,936,4689
124,1,124,0.9943881034851074,0.9943881034851074,937,4694
125,1,125,0.9942522644996643,0.9942522644996643,938,4699
126,1,126,0.9951592683792114,0.9951592683792114,939,4704
127,1,127,0.9937342405319214,0.9937342405319214,940,4709
128,1,128,0.993466854095459,0.993466854095459,941,4714
129,9,149,0.9937871098518372,0.9933016300201416,942,4719
130,10,149,0.9950313568115234,0.9934066534042358,943,4724
131,9,148,0.9960543513298035,0.9937312006950378,944,4729
132,1,132,0.9925620555877686,0.9925620555877686,945,4734
133,1,133,0.9891864657402039,0.9891864657402039,946,4739
134,1,134,0.9887794256210327,0.9887794256210327,947,4744
135,1,135,0.9892258644104004,0.9892258644104004,948,4749
136,1,136,0.9889063835144043,0.9889063835144043,949,4754
137,2,138,0.9895354509353638,0.9887994527816772,950,4759
138,1,138,0.9917613863945007,0.9917613863945007,951,4764
139,1,139,0.9916561841964722,0.9916561841964722,952,4769
140,1,140,0.9914109706878662,0.9914109706878662,953,4774
141,1,141,0.9915533661842346,0.9915533661842346,954,4779
142,1,142,0.993167519569397,0.993167519569397,955,4784
143,1,143,0.9941283464431763,0.9941283464431763,956,4789
144,6,146,0.9963206052780151,0.9958615899085999,957,4794
145,3,148,0.9965773820877075,0.9965240955352783,958,4799
146,2,148,0.9962181448936462,0.9961378574371338,959,4804
147,5,148,0.9960915446281433,0.9958820939064026,960,4809
148,1,148,0.9959045052528381,0.9959045052528381,961,4814
149,1,149,0.996356189250946,0.996356189250946,962,4819
150,1,150,0.9965071082115173,0.9965071082115173,963,4824
151,1,151,0.9969031810760498,0.9969031810760498,964,4829
152,1,152,0.9933129549026489,0.9933129549026489,965,4834
153,3,152,0.9918956756591797,0.9910669326782227,966,4839
154,1,154,0.9919586181640625,0.9919586181640625,967,4844
155,1,155,0.989404559135437,0.989404559135437,968,4849
156,5,155,0.9774864912033081,0.9740830659866333,969,4854
157,4,155,0.9781303405761719,0.9749462604522705,970,4859
158,5,155,0.9833781719207764,0.9808568954467773,971,4864
159,22,124,0.9892512559890747,0.9840630292892456,972,4869
160,15,124,0.9927859902381897,0.9883501529693604,973,4874
161,13,125,0.9945242404937744,0.9917700886726379,974,4879
162,19,147,0.9958015084266663,0.9919412732124329,975,4884
163,32,147,0.9961694478988647,0.9868704080581665,976,4889
164,35,146,0.9959844350814819,0.984833836555481,977,4894
165,37,146,0.9952683448791504,0.983092188835144,978,4899
166,37,147,0.9946168065071106,0.9835277199745178,979,4904
167,37,148,0.9944291710853577,0.9832080602645874,980,4909
168,35,151,0.9925984144210815,0.9836243391036987,981,4914
169,30,151,0.9909172058105469,0.9840427041053772,982,4919
170,20,151,0.9893165826797485,0.9842208027839661,983,4924
171,19,151,0.9842633008956909,0.9797215461730957,984,4929
172,1,172,0.9787436723709106,0.9787436723709106,985,4934
173,1,173,0.9821980595588684,0.9821980595588684,986,4939
174,1,174,0.9819121360778809,0.9819121360778809,987,4944
175,2,176,0.981195867061615,0.9808330535888672,988,4949
176,1,176,0.9849504828453064,0.9849504828453064,989,4954
177,1,177,0.9883847236633301,0.9883847236633301,990,4959
178,1,178,0.9896117448806763,0.9896117448806763,991,4964
179,1,179,0.9891282320022583,0.9891282320022583,992,4969
180,1,180,0.9860239624977112,0.9860239624977112,993,4974
181,1,181,0.9845243096351624,0.9845243096351624,994,4979
182,1,182,0.9814861416816711,0.9814861416816711,995,4984
183,1,183,0.9792553186416626,0.9792553186416626,996,4989
184,1,184,0.9796714782714844,0.9796714782714844,997,4994
185,1,185,0.9793252348899841,0.9793252348899841,998,4999
186,1,186,0.9790252447128296,0.9790252447128296,999,5004
187,4,189,0.9820062518119812,0.979666531085968,1000,5009
188,3,190,0.9853512048721313,0.9821528196334839,1001,5014
189,3,190,0.9881176948547363,0.9849662780761719,1002,5019
190,2,191,0.9903756976127625,0.9901512861251831,1003,5024
191,1,191,0.9914087057113647,0.9914087057113647,1004,5029
192,1,192,0.9912474751472473,0.9912474751472473,1005,5034
193,1,193,0.9916475415229797,0.9916475415229797,1006,5039
194,1,194,0.9924948215484619,0.9924948215484619,1007,5044
195,1,195,0.9926390051841736,0.9926390051841736,1008,5049
196,2,197,0.9917137622833252,0.9915892481803894,1009,5054
197,1,197,0.9914607405662537,0.9914607405662537,1010,5059
198,1,198,0.9924569129943848,0.9924569129943848,1011,5064
199,1,199,0.9917905330657959,0.9917905330657959,1012,5069
200,1,200,0.9884243011474609,0.9884243011474609,1013,5074
201,1,201,0.9835163354873657,0.9835163354873657,1014,5079
202,1,202,0.9794350266456604,0.9794350266456604,1015,5084
203,1,203,0.9803085327148438,0.9803085327148438,1016,5089
204,1,204,0.9795046448707581,0.9795046448707581,1017,5094
205,2,206,0.9772018790245056,0.9769978523254395,1018,5099
206,1,206,0.9780623912811279,0.9780623912811279,1019,5104
207,1,207,0.9798890352249146,0.9798890352249146,1020,5109
208,2,207,0.9821668267250061,0.9819837808609009,1021,5114
209,1,209,0.9816786646842957,0.9816786646842957,1022,5119
210,1,210,0.9771060943603516,0.9771060943603516,1023,5124
211,1,211,0.9790036678314209,0.9790036678314209,1024,5129
212,1,212,0.9803934693336487,0.9803934693336487,1025,5134
213,1,213,0.9809276461601257,0.9809276461601257,1026,5139
214,1,214,0.9852166771888733,0.9852166771888733,1027,5144
215,1,215,0.9873422384262085,0.9873422384262085,1028,5149
216,1,216,0.9898264408111572,0.9898264408111572,1029,5154
217,1,217,0.9897923469543457,0.9897923469543457,1030,5159
218,1,218,0.9907441735267639,0.9907441735267639,1031,5164
219,1,219,0.9902210235595703,0.9902210235595703,1032,5169
220,2,218,0.9915984869003296,0.9913175702095032,1033,5174
221,1,221,0.9913170337677002,0.9913170337677002,1034,5179
222,3,301,0.9907472729682922,0.9904201030731201,1035,5184
223,4,301,0.9912059903144836,0.9904225468635559,1036,5189
224,6,301,0.991527795791626,0.9905364513397217,1037,5194
225,2,301,0.9914621114730835,0.9908735156059265,1038,5199
226,3,301,0.9915739297866821,0.991296112537384,1039,5204
227,4,225,0.9921482801437378,0.992013692855835,1040,5209
228,4,225,0.9918510317802429,0.991706132888794,1041,5214
229,5,301,0.9912829399108887,0.9911551475524902,1042,5219
230,3,229,0.9907498955726624,0.9906773567199707,1043,5224
231,3,305,0.9912978410720825,0.9909554719924927,1044,5229
232,9,305,0.9916955232620239,0.9907411336898804,1045,5234
233,6,305,0.9917928576469421,0.9907276630401611,1046,5239
234,7,308,0.9925671815872192,0.9915700554847717,1047,5244
235,9,308,0.9919462203979492,0.9908446669578552,1048,5249
236,9,309,0.9929331541061401,0.9916786551475525,1049,5254
237,14,309,0.9936103820800781,0.9920724630355835,1050,5259
238,14,309,0.9927615523338318,0.9916629791259766,1051,5264
239,24,275,0.9920116662979126,0.9908831715583801,1052,5269
240,21,274,0.9916442036628723,0.9908115267753601,1053,5274
241,3,274,0.9903661608695984,0.9902076721191406,1054,5279
242,3,241,0.9907273650169373,0.9906225204467773,1055,5284
243,2,340,0.9914403557777405,0.9912217855453491,1056,5289
244,4,340,0.9918625950813293,0.990697979927063,1057,5294
245,1,245,0.9892320036888123,0.9892320036888123,1058,5299
246,1,246,0.9884973764419556,0.9884973764419556,1059,5304
247,1,247,0.9881763458251953,0.9881763458251953,1060,5309
248,1,248,0.9876067638397217,0.9876067638397217,1061,5314
249,1,249,0.9869036078453064,0.9869036078453064,1062,5319
250,1,250,0.9909560680389404,0.9909560680389404,1063,5324
251,1,251,0.9891743063926697,0.9891743063926697,1064,5329
252,1,252,0.9870026111602783,0.9870026111602783,1065,5334
253,1,253,0.9866549968719482,0.9866549968719482,1066,5339
254,2,255,0.9889332056045532,0.9888460040092468,1067,5344
255,3,256,0.9917356967926025,0.9902587532997131,1068,5349
256,1,256,0.9902836680412292,0.9902836680412292,1069,5354
257,1,257,0.9915768504142761,0.9915768504142761,1070,5359
258,1,258,0.9908241629600525,0.9908241629600525,1071,5364
259,2,258,0.9901105165481567,0.9900753498077393,1072,5369
260,1,260,0.9912387132644653,0.9912387132644653,1073,5374
261,1,261,0.9912976026535034,0.9912976026535034,1074,5379
262,1,262,0.9903903603553772,0.9903903603553772,1075,5384
263,1,263,0.989944338798523,0.989944338798523,1076,5389
264,1,264,0.9909881949424744,0.9909881949424744,1077,5394
265,1,265,0.9901402592658997,0.9901402592658997,1078,5399
266,2,265,0.990540623664856,0.9904403686523438,1079,5404
267,1,267,0.9918519258499146,0.9918519258499146,1080,5409
268,1,268,0.9920550584793091,0.9920550584793091,1081,5414
269,2,268,0.9910328388214111,0.9904389977455139,1082,5419
270,3,269,0.9899295568466187,0.9896454811096191,1083,5424
271,5,305,0.9899089932441711,0.9896363019943237,1084,5429
272,6,308,0.9906883835792542,0.9902302026748657,1085,5434
273,1,273,0.990631639957428,0.990631639957428,1086,5439
274,2,273,0.9915564656257629,0.9915428161621094,1087,5444
275,1,275,0.9924577474594116,0.9924577474594116,1088,5449
276,2,275,0.992271900177002,0.9922376275062561,1089,5454
277,2,276,0.9922639727592468,0.9921910762786865,1090,5459
278,3,277,0.9924651384353638,0.9923619031906128,1091,5464
279,3,278,0.9923162460327148,0.9921177625656128,1092,5469
280,6,324,0.9922980070114136,0.9921839237213135,1093,5474
281,22,332,0.9921606779098511,0.9917638897895813,1094,5479
282,28,332,0.9914759993553162,0.9906296133995056,1095,5484
283,33,332,0.9908466935157776,0.9893858432769775,1096,5489
284,25,315,0.9915514588356018,0.9902318120002747,1097,5494
285,26,315,0.9912073612213135,0.9898364543914795,1098,5499
286,25,315,0.9912543296813965,0.9901753664016724,1099,5504
287,26,315,0.9914675951004028,0.9903808832168579,1100,5509
288,30,315,0.9914628863334656,0.990791916847229,1101,5514
289,31,315,0.991422176361084,0.9906542301177979,1102,5519
290,30,315,0.9916257858276367,0.9907506108283997,1103,5524
291,29,315,0.9919472336769104,0.9908453226089478,1104,5529
292,25,315,0.9919642806053162,0.9906328320503235,1105,5534
293,32,315,0.991841197013855,0.9899728894233704,1106,5539
294,39,321,0.9907071590423584,0.9882205128669739,1107,5544
295,5,338,0.9903383255004883,0.9885085821151733,1108,5549
296,3,339,0.9902898669242859,0.9894214272499084,1109,5554
297,1,297,0.9908384084701538,0.9908384084701538,1110,5559
298,1,298,0.9913698434829712,0.9913698434829712,1111,5564
299,1,299,0.9916503429412842,0.9916503429412842,1112,5569
300,1,300,0.9913336634635925,0.9913336634635925,1113,5574
301,1,301,0.9923505783081055,0.9923505783081055,1114,5579
302,1,302,0.9927561283111572,0.9927561283111572,1115,5584
303,1,303,0.9924665093421936,0.9924665093421936,1116,5589
304,1,304,0.9920651316642761,0.9920651316642761,1117,5594
305,1,305,0.9915903806686401,0.9915903806686401,1118,5599
306,1,306,0.9916048049926758,0.9916048049926758,1119,5604
307,3,305,0.9918164610862732,0.9917175769805908,1120,5609
308,3,305,0.9915470480918884,0.9912205934524536,1121,5614
309,2,308,0.9920750260353088,0.9920654296875,1122,5619
310,2,309,0.9919566512107849,0.9917927980422974,1123,5624
311,2,310,0.9914076924324036,0.9913287162780762,1124,5629
312,1,312,0.9919489622116089,0.9919489622116089,1125,5634
313,2,312,0.9923080205917358,0.992264449596405,1126,5639
314,2,313,0.9928032755851746,0.9927057027816772,1127,5644
315,2,314,0.9931519031524658,0.9931129217147827,1128,5649
316,2,314,0.9931299686431885,0.9931036233901978,1129,5654
317,2,314,0.9932061433792114,0.9931671023368835,1130,5659
318,3,314,0.9934874773025513,0.9933158755302429,1131,5664
319,6,314,0.9929956197738647,0.9927223324775696,1132,5669
320,8,314,0.9930747747421265,0.9927684664726257,1133,5674
321,9,315,0.9924926161766052,0.9922400712966919,1134,5679
322,7,314,0.9929879903793335,0.9927963018417358,1135,5684
323,6,314,0.9930277466773987,0.9927401542663574,1136,5689
324,9,314,0.993126630783081,0.9928017854690552,1137,5694
325,11,314,0.9929240942001343,0.99252849817276,1138,5699
326,12,315,0.992547869682312,0.992268443107605,1139,5704
327,15,315,0.9929446578025818,0.9923969507217407,1140,5709
328,20,315,0.9926433563232422,0.991954505443573,1141,5714
329,21,315,0.9934048056602478,0.9926621913909912,1142,5719
330,17,317,0.9929134249687195,0.9923413395881653,1143,5724
331,14,317,0.9928385615348816,0.9923902153968811,1144,5729
332,10,315,0.9930280447006226,0.9927187561988831,1145,5734
333,13,315,0.9932745099067688,0.9927819967269897,1146,5739
334,21,315,0.9939538836479187,0.9932318925857544,1147,5744
335,13,315,0.9943782687187195,0.9938509464263916,1148,5749
336,21,316,0.9937984943389893,0.9928240776062012,1149,5754
337,4,321,0.9921839237213135,0.9919875264167786,1150,5759
338,2,339,0.9920058250427246,0.9919127225875854,1151,5764
339,2,340,0.9923813343048096,0.9922164678573608,1152,5769
340,1,340,0.9927914142608643,0.9927914142608643,1153,5774
341,1,341,0.9933248162269592,0.9933248162269592,1154,5779
342,2,343,0.993202805519104,0.9931244254112244,1155,5784
343,1,343,0.9927319288253784,0.9927319288253784,1156,5789
344,4,305,0.9932717084884644,0.9926608204841614,1157,5794
345,4,304,0.9912585616111755,0.9905751347541809,1158,5799
346,6,345,0.9911304712295532,0.9900332689285278,1159,5804
347,8,345,0.9909178614616394,0.9899231195449829,1160,5809
